INPUT_DATE	PYLON	PYLON1	PYLON2
2005/02/07 14:51:20	388	0	0
2005/02/07 14:51:30	97	0	0
2005/02/07 14:51:40	2081	0	0
2005/02/07 14:51:50	487	0	0
2005/02/07 14:52:00	1185	0	0
2005/02/07 14:52:10	1284	0	0
2005/02/07 14:52:20	388	0	0
2005/02/07 14:52:30	97	0	0
2005/02/07 14:52:40	2081	0	0
2005/02/07 14:52:50	487	0	0
2005/02/07 14:53:00	1088	0	0
2005/02/07 14:53:10	1284	0	0
2005/02/07 14:53:20	388	0	0
2005/02/07 14:53:30	97	0	0
2005/02/07 14:53:40	2178	0	0
2005/02/07 14:53:50	487	0	0
2005/02/07 14:54:00	1691	0	0
2005/02/07 14:54:10	584	0	0
2005/02/07 14:54:20	388	0	0
2005/02/07 14:54:30	787886	0	0
2005/02/07 14:54:40	783468	0	0
INPUT_DATE	PYLON	PYLON1	PYLON2
2005/02/07 14:24:50	9977	0	0
2005/02/07 14:25:00	1657	0	0
2005/02/07 14:25:10	12402	0	0
2005/02/07 14:25:20	8150	0	0
2005/02/07 14:25:30	2761	0	0
2005/02/07 14:25:40	1875	0	0
2005/02/07 14:25:50	2898	0	0
2005/02/07 14:26:00	3681	0	0
2005/02/07 14:26:10	6243	0	0
2005/02/07 14:26:20	636	0	0
2005/02/07 14:26:30	4741	0	0
2005/02/07 14:26:40	2038	0	0
2005/02/07 14:26:50	2375	0	0
2005/02/07 14:27:00	1717	0	0
2005/02/07 14:27:10	784	0	0
2005/02/07 14:27:20	636	0	0
2005/02/07 14:27:30	1861	0	0
2005/02/07 14:27:40	3166	0	0
2005/02/07 14:27:50	3138	0	0
2005/02/07 14:28:00	10303	0	0
2005/02/07 14:28:10	967	0	0
2005/02/07 14:28:20	816	0	0
2005/02/07 14:28:30	2104	0	0
2005/02/07 14:28:40	1123	0	0
2005/02/07 14:28:50	1338	0	0
2005/02/07 14:29:00	1417	0	0
2005/02/07 14:29:10	1564	0	0
2005/02/07 14:29:20	1896	0	0
2005/02/07 14:29:30	3753	0	0
2005/02/07 14:29:40	5228	0	0
2005/02/07 14:29:50	11971	0	0
2005/02/07 14:30:00	3623	0	0
2005/02/07 14:30:10	4639	0	0
2005/02/07 14:30:20	2803	0	0
2005/02/07 14:30:30	2341	0	0
2005/02/07 14:30:40	3523	0	0
2005/02/07 14:30:50	920	0	0
